Session ID,Facial Emotion,Facial Score,Audio Emotion,Audio Score,Final Alignment Score
Session_1753410568,neutral,0.7,joy,0.893,0

Session ID,Facial Emotion,Facial Score,Audio Emotion,Audio Score,Final Alignment Score
Session_1753410568,neutral,0.6,joy,0.906,0

