Session ID,Capture Timestamp,Relative Time (s),Emotion,Confidence
Session_1753410568,2025-07-25 12:26:47,7,angry,0.37
Session_1753410568,2025-07-25 12:26:47,7,angry,0.44
Session_1753410568,2025-07-25 12:26:47,7,angry,0.44
Session_1753410568,2025-07-25 12:26:47,7,neutral,0.56
Session_1753410568,2025-07-25 12:26:47,7,neutral,0.73
Session_1753410568,2025-07-25 12:26:47,7,neutral,0.75
Session_1753410568,2025-07-25 12:26:47,7,neutral,0.8
Session_1753410568,2025-07-25 12:26:47,7,neutral,0.82
Session_1753410568,2025-07-25 12:26:47,7,neutral,0.79
Session_1753410568,2025-07-25 12:26:47,7,neutral,0.83
Session_1753410568,2025-07-25 12:26:47,7,neutral,0.79
Session_1753410568,2025-07-25 12:26:47,7,neutral,0.86
Session_1753410568,2025-07-25 12:26:48,7,neutral,0.82
Session_1753410568,2025-07-25 12:26:48,7,neutral,0.81
Session_1753410568,2025-07-25 12:26:48,8,neutral,0.81
Session_1753410568,2025-07-25 12:26:48,8,neutral,0.55
Session_1753410568,2025-07-25 12:26:48,8,neutral,0.54
Session_1753410568,2025-07-25 12:26:48,8,neutral,0.51
Session_1753410568,2025-07-25 12:26:48,8,neutral,0.39
Session_1753410568,2025-07-25 12:26:48,8,neutral,0.44
Session_1753410568,2025-07-25 12:26:48,8,neutral,0.52
Session_1753410568,2025-07-25 12:26:48,8,neutral,0.68
Session_1753410568,2025-07-25 12:26:48,8,neutral,0.76
Session_1753410568,2025-07-25 12:26:48,8,neutral,0.79
Session_1753410568,2025-07-25 12:26:48,8,neutral,0.77
Session_1753410568,2025-07-25 12:26:48,8,neutral,0.78
Session_1753410568,2025-07-25 12:26:48,8,neutral,0.8
Session_1753410568,2025-07-25 12:26:49,8,neutral,0.74
Session_1753410568,2025-07-25 12:26:49,8,neutral,0.91
Session_1753410568,2025-07-25 12:26:49,9,neutral,0.79
Session_1753410568,2025-07-25 12:26:49,9,neutral,0.8
Session_1753410568,2025-07-25 12:26:49,9,neutral,0.79
Session_1753410568,2025-07-25 12:26:49,9,neutral,0.8
Session_1753410568,2025-07-25 12:26:49,9,neutral,0.8
Session_1753410568,2025-07-25 12:26:49,9,neutral,0.8
Session_1753410568,2025-07-25 12:26:49,9,neutral,0.8
Session_1753410568,2025-07-25 12:26:49,9,neutral,0.72
Session_1753410568,2025-07-25 12:26:49,9,neutral,0.52
Session_1753410568,2025-07-25 12:26:49,9,angry,0.61
Session_1753410568,2025-07-25 12:26:49,9,angry,0.58
Session_1753410568,2025-07-25 12:26:49,9,angry,0.74
Session_1753410568,2025-07-25 12:26:49,9,angry,0.44
Session_1753410568,2025-07-25 12:26:49,9,neutral,0.44
Session_1753410568,2025-07-25 12:26:50,9,neutral,0.45
Session_1753410568,2025-07-25 12:26:50,9,neutral,0.44
Session_1753410568,2025-07-25 12:26:50,10,angry,0.59
Session_1753410568,2025-07-25 12:26:50,10,angry,0.73
Session_1753410568,2025-07-25 12:26:50,10,angry,0.7
Session_1753410568,2025-07-25 12:26:50,10,angry,0.81
Session_1753410568,2025-07-25 12:26:50,10,angry,0.72
Session_1753410568,2025-07-25 12:26:50,10,angry,0.62
Session_1753410568,2025-07-25 12:26:50,10,angry,0.71
Session_1753410568,2025-07-25 12:26:50,10,angry,0.66
Session_1753410568,2025-07-25 12:26:50,10,neutral,0.46
Session_1753410568,2025-07-25 12:26:50,10,neutral,0.65
Session_1753410568,2025-07-25 12:26:50,10,neutral,0.68
Session_1753410568,2025-07-25 12:26:50,10,neutral,0.66
Session_1753410568,2025-07-25 12:26:50,10,neutral,0.62
Session_1753410568,2025-07-25 12:26:51,10,neutral,0.64
Session_1753410568,2025-07-25 12:26:51,10,neutral,0.6
Session_1753410568,2025-07-25 12:26:51,11,neutral,0.68
Session_1753410568,2025-07-25 12:26:51,11,neutral,0.67
Session_1753410568,2025-07-25 12:26:51,11,neutral,0.65
Session_1753410568,2025-07-25 12:26:51,11,neutral,0.64
Session_1753410568,2025-07-25 12:26:51,11,neutral,0.58
Session_1753410568,2025-07-25 12:26:51,11,angry,0.41
Session_1753410568,2025-07-25 12:26:51,11,neutral,0.44
Session_1753410568,2025-07-25 12:26:51,11,neutral,0.43
Session_1753410568,2025-07-25 12:26:51,11,neutral,0.62
